id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4.20E+12,2015-15491,06-08-2015 11:05,Mischief Over $5000,2170-03,Mischief,2,Property Crime,1,3XX 9TH ST,27298,Harewood,10,49.139927,-123.942752
4.20E+11,2015-8403,3/31/2015 1:56:00 PM,Mischief Over $5000,2170-03,Mischief,2,Property Crime,1,63XX ICARUS DR,28025,Dover,11,49.246842,-124.043702
4.20E+11,2015-9720,4/14/2015 3:35:00 PM,Mischief Over $5000,2170-03,Mischief,2,Property Crime,1,40XX JINGLE POT RD,28088,Pleasant Valley,20,49.20475,-124.034655
4.20E+12,2015-16340,6/14/2015 10:00:00 PM,Mischief Over $5000,2170-03,Mischief,2,Property Crime,1,10XX NANAIMO LAKES RD,28407,Westwood,18,49.145084,-123.974305
4.20E+12,2015-10319,4/17/2015 9:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,10XX ST GEORGE CRES,20268,Townsite,17,49.181776,-123.964421
4.20E+11,2015-8472,04-01-2015 13:09,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,10XX TERMINAL AVE N,20275,Newcastle/brechin,16,49.181945,-123.952915
4.20E+12,2015-14434,5/29/2015 11:52:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,11XX TERMINAL AVE N,20344,Newcastle/brechin,16,49.183075,-123.954583
4.20E+12,2015-14603,5/31/2015 1:39:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX DUFFERIN CRES,20366,Townsite,17,49.183242,-123.970989
4.20E+12,2015-13959,5/25/2015 3:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX DUFFERIN CRES,20366,Townsite,17,49.183242,-123.970989
4.20E+12,2015-10420,4/21/2015 8:30:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX DUFFERIN CRES,20366,Townsite,17,49.183242,-123.970989
4.20E+11,2015-6988,3/16/2015 11:20:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX DUFFERIN CRES,20366,Townsite,17,49.183242,-123.970989
4.20E+12,2015-13019,5/16/2015 10:32:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX DUFFERIN CRES,20367,Townsite,17,49.183793,-123.969099
4.20E+11,2015-8189,3/29/2015 7:03:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,14XX JINGLE POT RD,20465,University District,19,49.16657,-123.961839
4.20E+12,2015-14774,06-01-2015 19:37,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,15XX BOUNDARY CRES,20493,Townsite,17,49.182224,-123.971911
4.20E+12,2015-14103,5/27/2015 9:19:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,15XX BOUNDARY CRES,20493,Townsite,17,49.182224,-123.971911
4.20E+12,2015-18721,07-04-2015 03:34,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,16XX BOWEN RD,20553,Northfield,5,49.180095,-123.97712
4.20E+12,2015-10921,4/26/2015 12:50:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,16XX BOWEN RD,20553,Northfield,5,49.180095,-123.97712
4.20E+12,2015-16860,6/18/2015 11:51:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,16XX STEWART AVE,20600,Newcastle/brechin,16,49.18723,-123.950008
4.20E+12,2015-18952,07-06-2015 08:51,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,19XX BOWEN RD,20725,Northfield,5,49.185887,-123.984181
4.20E+12,2015-18882,07-05-2015 14:35,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
4.20E+12,2015-18115,6/29/2015 12:00:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
4.20E+12,2015-17172,6/21/2015 12:58:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
4.20E+12,2015-11922,05-06-2015 16:33,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
4.20E+12,2015-10955,4/26/2015 8:22:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
4.20E+12,2015-18585,07-03-2015 01:30,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX PROMENADE DR,20998,Downtown,2,49.166611,-123.93292
4.20E+11,2015-6733,3/14/2015 2:30:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WAKESIAH AVE,21050,University District,19,49.168243,-123.962506
4.20E+11,2015-5021,2/23/2015 12:01:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WAKESIAH AVE,21050,University District,19,49.168243,-123.962506
4.20E+12,2015-17605,6/24/2015 9:43:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WAKESIAH AVE,21052,University District,19,49.169595,-123.962126
4.20E+11,2015-8171,3/29/2015 2:19:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WAKESIAH AVE,21052,University District,19,49.169595,-123.962126
4.20E+11,2015-9993,4/17/2015 7:35:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WALLACE ST,21057,Downtown,2,49.167775,-123.941666
4.20E+12,2015-17270,6/19/2015 10:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,21XX BOWEN RD,21142,Northfield,5,49.190728,-123.990448
4.20E+11,2015-6821,03-02-2015 12:21,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,21XX BOWEN RD,21142,Northfield,5,49.190728,-123.990448
4.20E+12,2015-13816,5/24/2015 7:10:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX ROSEHILL ST,21755,Newcastle/brechin,16,49.176293,-123.946158
