id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4.20E+11,2015-6149,03-07-2015 12:35,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,10XX TERMINAL AVE N,20275,Newcastle/brechin,16,49.181945,-123.952915
4.20E+12,2015-15389,06-07-2015 11:38,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,15XX ESTEVAN RD,20506,Newcastle/brechin,16,49.185796,-123.956212
4.20E+11,2015-6708,03-03-2015 17:14,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,15XX ESTEVAN RD,20506,Newcastle/brechin,16,49.185796,-123.956212
4.20E+12,2015-18874,07-05-2015 13:13,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,18XX DUFFERIN CRES,20677,Northfield,5,49.183802,-123.982534
4.20E+12,2015-18220,6/29/2015 9:05:00 PM,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,18XX DUFFERIN CRES,20677,Northfield,5,49.183802,-123.982534
4.20E+12,2015-14062,5/26/2015 6:48:00 PM,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,18XX DUFFERIN CRES,20677,Northfield,5,49.183802,-123.982534
4.20E+12,2015-12169,05-08-2015 17:20,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,18XX DUFFERIN CRES,20677,Northfield,5,49.183802,-123.982534
4.20E+11,2015-9526,04-12-2015 15:08,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,18XX DUFFERIN CRES,20677,Northfield,5,49.183802,-123.982534
4.20E+11,2015-9332,04-10-2015 15:20,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,18XX DUFFERIN CRES,20677,Northfield,5,49.183802,-123.982534
4.20E+11,2015-7259,3/19/2015 12:30:00 PM,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,18XX DUFFERIN CRES,20677,Northfield,5,49.183802,-123.982534
4.20E+12,2015-17778,6/26/2015 9:19:00 AM,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
4.20E+12,2015-16231,6/13/2015 10:50:00 PM,Shoplifting,2143-00,Shoplifting,3,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
