id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4.20E+12,2015-10163,4/18/2015 6:01:00 PM,Theft Bicycle Over $5000,2130-10,Theft,4,Property Crime,1,53XX ARBOUR LANE,28136,Rutherford,12,49.228131,-124.021936
4.20E+12,2015-12587,05-10-2015 20:30,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,18XX STEWART AVE,20710,Newcastle/brechin,16,49.188605,-123.951357
4.20E+12,2015-17049,6/20/2015 4:07:00 PM,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,5XX 5TH ST,23281,Harewood,10,49.155141,-123.951757
4.20E+12,2015-16653,6/17/2015 11:22:00 AM,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,4XX NEWCASTLE AVE,25844,Newcastle/brechin,16,49.176392,-123.94246
4.20E+12,2015-13439,5/21/2015 4:57:00 AM,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,2XX CALEDONIA AVE,27358,Newcastle/brechin,16,49.175405,-123.948162
4.20E+11,2015-7246,3/19/2015 10:00:00 AM,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,15XX BUSH ST,27951,Northfield,5,49.179331,-123.969916
4.20E+12,2015-10994,4/24/2015 6:00:00 PM,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,7XX JACKSON RD,28120,Duke Pt,9,49.146231,-123.882352
4.20E+12,2015-14105,5/27/2015 9:30:00 AM,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,BOUNDARY CRES / GRAHAM CRES,28339,Townsite,17,49.18159,-123.970712
4.20E+12,2015-16429,6/15/2015 5:12:00 PM,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,25XX LABIEUX RD,28448,Diver Lake,13,49.1992,-124.010631
4.20E+12,2015-18486,07-02-2015 10:06,Theft Other Over $5000,2130-13,Theft,4,Property Crime,1,23XX DEPARTURE BAY RD,28483,Departure Bay,3,49.194846,-123.970778
4.20E+12,2015-15950,06-11-2015 20:15,Theft Bicycle Under $5000,2140-10,Theft,4,Property Crime,1,11XX TERMINAL AVE N,20344,Newcastle/brechin,16,49.183075,-123.954583
4.20E+12,2015-18811,07-04-2015 20:00,Theft Bicycle Under $5000,2140-10,Theft,4,Property Crime,1,12XX DUFFERIN CRES,20367,Townsite,17,49.183793,-123.969099
4.20E+11,2015-7670,3/24/2015 7:23:00 AM,Theft Bicycle Under $5000,2140-10,Theft,4,Property Crime,1,14XX JINGLE POT RD,20465,University District,19,49.16657,-123.961839
4.20E+12,2015-14022,5/26/2015 12:34:00 PM,Theft Bicycle Under $5000,2140-10,Theft,4,Property Crime,1,16XX BOWEN RD,20553,Northfield,5,49.180095,-123.97712
4.20E+12,2015-14509,5/30/2015 5:46:00 PM,Theft Bicycle Under $5000,2140-10,Theft,4,Property Crime,1,16XX STEWART AVE,20600,Newcastle/brechin,16,49.18723,-123.950008
